psychological_feature	newsmen	[]	None	-1
person	middle	[]	None	-1
person	united	[]	None	-1
act	jersey	[]	None	-1
concept	agency	['hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('unit.n.03'), Synset('administrative_unit.n.01'), Synset('agency.n.01')]	11
person	state	['holonym', 'hypernym', 'hyponym', 'hyponym', 'hypernym']	[Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('attribute.n.02'), Synset('state.n.02')]	5
concept	theodore	[]	None	None
concept	united	[]	None	-1
act	ethical_motive	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym']	[Synset('act.n.01'), Synset('legal_document.n.01'), Synset('document.n.01'), Synset('writing.n.02'), Synset('written_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	9
act	assaults	[]	None	-1
act	conflict	[]	None	-1
act	politics	[]	None	-1
psychological_feature	office	['hypernym', 'hyponym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('arrangement.n.02'), Synset('flower_arrangement.n.01'), Synset('decoration.n.01'), Synset('artifact.n.01'), Synset('structure.n.01'), Synset('establishment.n.04'), Synset('place_of_business.n.01'), Synset('office.n.01')]	10
psychological_feature	politics	[]	None	-1
psychological_feature	conflict	['hyponym', 'hyponym', 'hypernym']	[Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('conflict.n.01')]	3
psychological_feature	theodore	[]	None	None
concept	new	[]	None	-1
person	agnew	[]	None	None
person	ethical_motive	['holonym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym']	[Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	6
person	assault	['holonym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym']	[Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('military_action.n.01'), Synset('battle.n.01'), Synset('assault.n.01')]	9
person	spiro	[]	None	None
act	reporter	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('act.n.01'), Synset('legal_document.n.01'), Synset('document.n.01'), Synset('writing.n.02'), Synset('written_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	11
psychological_feature	elections	[]	None	-1
concept	ethical_motive	['hyponym', 'hypernym', 'hyponym', 'hyponym', 'hyponym', 'hyponym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	6
concept	assault	['hyponym', 'hypernym', 'hyponym', 'hyponym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('military_action.n.01'), Synset('battle.n.01'), Synset('assault.n.01')]	9
person	Jersey	['hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('person.n.01'), Synset('organism.n.01'), Synset('animal.n.01'), Synset('male.n.01'), Synset('bullock.n.02'), Synset('cattle.n.01'), Synset('dairy_cattle.n.01'), Synset('jersey.n.05')]	7
act	united	[]	None	-1
person	news	['holonym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.02')]	7
concept	Jersey	['hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('biological_group.n.01'), Synset('taxonomic_group.n.01'), Synset('genus.n.02'), Synset('mammal_genus.n.01'), Synset('bos.n.01'), Synset('cattle.n.01'), Synset('dairy_cattle.n.01'), Synset('jersey.n.05')]	14
act	theodore	[]	None	None
person	reporter	['hypernym', 'hypernym']	[Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	2
act	government	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('act.n.01'), Synset('legal_document.n.01'), Synset('document.n.01'), Synset('writing.n.02'), Synset('written_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('polity.n.02'), Synset('government.n.01')]	11
psychological_feature	center	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('area.n.01'), Synset('center.n.01')]	8
person	medium	['hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym']	[Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01'), Synset('matter.n.03'), Synset('substance.n.01'), Synset('medium.n.07')]	5
psychological_feature	israeliarab	[]	None	None
concept	reporter	['hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	10
