psychological_feature	new	[]	None	-1
person	government	['hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'holonym']	[Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('unit.n.03'), Synset('administrative_unit.n.01'), Synset('division.n.04'), Synset('government.n.01')]	11
concept	east	[]	None	-1
psychological_feature	governors	[]	None	-1
person	medium	['hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym']	[Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01'), Synset('matter.n.03'), Synset('substance.n.01'), Synset('medium.n.07')]	5
psychological_feature	news	['hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.02')]	5
psychological_feature	newark	[]	None	-1
psychological_feature	state	['hypernym', 'hyponym', 'hypernym']	[Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('attribute.n.02'), Synset('state.n.02')]	3
person	united	[]	None	-1
psychological_feature	theodore	[]	None	None
psychological_feature	jersey	[]	None	-1
person	newsmen	[]	None	-1
person	middle	[]	None	-1
person	nj	[]	None	-1
concept	ethical_motive	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hyponym', 'hyponym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	6
person	Jersey	['hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('person.n.01'), Synset('organism.n.01'), Synset('animal.n.01'), Synset('male.n.01'), Synset('bullock.n.02'), Synset('cattle.n.01'), Synset('dairy_cattle.n.01'), Synset('jersey.n.05')]	7
concept	news	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.01')]	9
psychological_feature	united	[]	None	-1
concept	newark	[]	None	-1
person	agnew	[]	None	None
